Customer ID;Age;Gender;Item Purchased;Category;Purchase Amount (USD);Country;Location;Size;Color;Season;Year;Review Rating;Subscription Status;Shipping Type;Promo Code Used;Previous Purchases;Payment Method;Discount value
1;55;Female;Blouse;Clothing;53;USA;Kentucky;L;Gray;Winter;2023;3.1;Yes;Express;No;nothing;Debit Card;0.0
2;19;Male;Sweater;Clothing;64;USA;Maine;L;Maroon;Winter;2023;3.1;Yes;Express;Yes;nothing;Cash;10.0
3;50;Female;Jeans;Clothing;73;USA;Massachusetts;S;Maroon;Spring;2023;3.1;Yes;Free Shipping;No;nothing;Credit Card;0.0
4;2;Male;Sandals;Footwear;90;USA;Rhode Island;M;Maroon;Spring;2023;3.5;Yes;Next Day Air;No;nothing;Cash;
5;45;F;Blouse;Clothing;49;USA;Oregon;M;Turquoise;Spring;2023;2.7;Yes;Free Shipping;No;nothing;Cash;0.0
6;46;Female;Sneakers;Footwear;20;USA;Wyoming;M;White;Summer;2023;2.9;Yes;Standard;No;nothing;Debit Card;0.0
7;0;Male;Shirt;Clothing;85;USA;Montana;M;Gray;Fall;2023;3.2;Yes;Free Shipping;No;nothing;Cash;0.0
8;27;Female;Shorts;Clothing;34;USA;Louisiana;L;Charcoal;Winter;2023;3.2;Yes;Free Shipping;No;nothing;Credit Card;0.0
9;26;Female;Coat;Outerwear;97;USA;West Virginia;L;Silver;Summer;2023;2.6;Yes;Express;Yes;8;Debit Card;20.0
10;57;Male;Handbag;Accessories;31;USA;Missouri;M;Pink;Spring;2023;4.8;Yes;2-Day Shipping;Yes;4;Cash;10.0
11;0;Male;Shoes;Footwear;34;USA;Arkansas;L;Purple;Fall;2023;4.1;Yes;Store Pickup;No;nothing;Bank Transfer;
12;30;Male;Shorts;Clothing;68;USA;Hawaii;S;Olive;Winter;2023;4.9;Yes;Store Pickup;No;nothing;Bank Transfer;0.0
13;61;Female;Coat;Outerwear;72;USA;Delaware;M;Gold;Winter;2023;4.5;Yes;Express;No;37;Debit Card;0.0
14;0;Male;Dress;Clothing;51;USA;New Hampshire;M;Violet;Spring;2023;4.7;Yes;Express;No;31;Credit;0.0
15;64;Female;Coat;Outerwear;53;USA;New York;L;Teal;Winter;2023;4.7;Yes;Free Shipping;No;34;Debit Card;
16;64;F;Skirt;Clothing;81;USA;Rhode Island;M;Teal;Winter;2023;2.8;Yes;Store Pickup;No;nothing;Cash;
17;25;Female;Sunglasses;Accessories;36;USA;Alabama;S;Gray;Spring;2023;4.1;Yes;Next Day Air;Yes;nothing;Debit Card;20.0
18;53;Male;Dress;Clothing;38;USA;Mississippi;XL;Lavender;Winter;2023;4.7;Yes;2-Day Shipping;Yes;36;Debit Card;50.0
19;52;Female;Sweater;Clothing;48;USA;Montana;S;Black;Summer;2023;4.6;Yes;Free Shipping;No;nothing;Cash;
20;66;Female;Pants;Clothing;90;USA;Rhode Island;M;Green;Summer;2023;3.3;Yes;Standard;No;nothing;Debit Card;0.0
21;21;Female;Pants;Clothing;51;USA;Louisiana;M;Black;Winter;2023;2.8;Yes;Express;No;nothing;Cash;
22;31;Female;Pants;Clothing;62;USA;North Carolina;M;Charcoal;Winter;2023;4.1;Yes;Store Pickup;No;nothing;Debit Card;0.0
23;56;F;Pants;Clothing;37;USA;California;M;Peach;Summer;2023;3.2;Yes;Store Pickup;No;nothing;Debit Card;
24;31;Female;Pants;Clothing;88;USA;Oklahoma;XL;White;Winter;2023;4.4;Yes;Express;No;nothing;Credit Card;0.0
25;18;Female;Jacket;Outerwear;22;USA;Florida;M;Green;Fall;2023;2.9;Yes;Store Pickup;Yes;16;Debit Card;10.0
26;18;Female;Hoodie;Clothing;25;USA;Texas;M;Silver;Summer;2023;3.6;Yes;Express;Yes;nothing;Credit;20.0
27;38;Female;Jewelry;Accessories;20;USA;Nevada;M;Red;Spring;2023;3.6;Yes;Next Day Air;No;nothing;Credit Card;
28;56;Female;Shorts;Clothing;56;USA;Kentucky;L;Cyan;Summer;2023;5.0;Yes;Next Day Air;Yes;nothing;Bank Transfer;10.0
29;54;Male;Handbag;Accessories;94;USA;North Carolina;M;Gray;Fall;2023;4.4;Yes;Free Shipping;No;nothing;Cash;0.0
30;0;Male;Dress;Clothing;48;USA;Wyoming;S;Black;Fall;2023;4.1;Yes;Store Pickup;Yes;14;Credit Card;10.0
